Question,Option A,Option B,Option C,Option D,Answer,Image
How many parts make up the shape shown in the picture?,1,2,3,4,C,images\page1_img1.png
How many lines are there in the image?,1,2,3,4,C,images\page2_img1.png
How many paperclips are there in the picture?,10,15,20,25,C,images\page2_img6.png
How many sticks are used to make the shape?,1,2,3,4,C,images\page3_img1.png
How many lines are there in the image?,1,2,3,4,C,images\page4_img1.png
What is the price of the shampoo?,₹34.50,₹15.80,₹25.71,₹40.31,C,images\page4_img2.png
How many lines are there in the image?,1,2,3,4,C,images\page5_img1.png
How many sticks are there in the image?,1,2,3,4,C,images\page6_img1.png
How many sides does the shape in the picture have?,1,2,3,4,C,images\page7_img1.png
How many parts does the shape have?,1,2,3,4,C,images\page8_img1.png
How many apples are there on the tree?,3,4,5,6,C,images\page8_img2.png
How many apples are there on the tree?,5,6,8,9,C,images\page8_img3.png
How many apples are there on the tree?,8,9,10,11,C,images\page8_img4.png
How many apples are there on the tree?,7,8,10,9,C,images\page8_img5.png
How many sides does the shape in the circle have?,1,2,3,4,C,images\page9_img1.png
How many lines are there in the image?,1,2,3,4,C,images\page10_img1.png
How many lines are in the image?,1,2,3,4,C,images\page11_img1.png
"What day of the week is December 25th, 2014?",Sunday,Monday,Thursday,Friday,C,images\page11_img4.png
How many lines make up the shape?,1,2,3,4,C,images\page12_img1.png
How many lines make up the shape in the picture?,1,2,3,4,C,images\page13_img1.png
How many lines make the shape shown in the picture?,1,2,3,4,C,images\page14_img1.png
